key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2015,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0,0,0,0,0,0,0,13.6,13.6,13.6,13.6,13.6,13.6,13.6,31.8,31.8,31.8,31.8,31.8,31.8,31.8,1.33,1.33,1.33,1.33,1.33,1.33,1.33
heat,2016,20.9,20.8,21.2,20.9,20.9,20.9,20.9,0,0,0,0,0,0,0,14.2,14.1,14.4,14.2,14.2,14.2,14.2,33.2,33,33.7,33.2,33.2,33.2,33.2,1.38,1.37,1.4,1.38,1.38,1.38,1.38
heat,2017,21.7,21.4,22.3,21.7,21.7,21.7,21.7,0,0,0,0,0,0,0,14.8,14.6,15.2,14.8,14.8,14.8,14.8,34.7,34.2,35.6,34.7,34.7,34.7,34.7,1.42,1.4,1.46,1.42,1.42,1.42,1.42
heat,2018,22.5,22.1,23.5,22.5,22.5,22.5,22.5,0,0,0,0,0,0,0,15.5,15.2,16.1,15.5,15.5,15.5,15.5,36.2,35.5,37.7,36.2,36.2,36.2,36.2,1.47,1.44,1.53,1.47,1.47,1.47,1.47
heat,2019,23.4,22.8,24.7,23.4,23.4,23.4,23.4,0,0,0,0,0,0,0,16.1,15.7,17,16.2,16.2,16.2,16.2,37.7,36.8,39.8,37.8,37.8,37.8,37.8,1.52,1.48,1.6,1.52,1.52,1.52,1.52
heat,2020,24.2,23.5,25.9,24.3,24.3,24.3,24.3,0,0,0,0,0,0,0,16.8,16.3,18,16.9,16.9,16.9,16.9,39.3,38.1,42,39.4,39.4,39.4,39.4,1.57,1.51,1.67,1.57,1.57,1.57,1.57
heat,2021,25.1,24.2,27.2,25.2,25.2,25.2,25.2,0,0,0,0,0,0,0,17.5,16.9,19,17.6,17.6,17.6,17.6,41,39.5,44.4,41.1,41.1,41.1,41.1,1.62,1.55,1.75,1.62,1.62,1.62,1.62
heat,2022,26.1,25,28.6,26.2,26.2,26.2,26.2,0,0,0,0,0,0,0,18.3,17.5,20,18.3,18.3,18.3,18.3,42.8,40.9,46.8,42.9,42.9,42.9,42.9,1.67,1.59,1.82,1.67,1.67,1.67,1.67
heat,2023,27.1,25.8,30,27.2,27.2,27.2,27.2,0,0,0,0,0,0,0,19.1,18.1,21.1,19.1,19.1,19.1,19.1,44.6,42.4,49.4,44.7,44.7,44.7,44.7,1.72,1.64,1.9,1.73,1.73,1.73,1.73
heat,2024,28.1,26.6,31.5,28.2,28.2,28.2,28.2,0,0,0,0,0,0,0,19.9,18.8,22.2,20,20,20,20,46.5,44,52,46.7,46.7,46.7,46.7,1.78,1.68,1.99,1.78,1.78,1.78,1.78
