name,Benefit:Cost,Economic loss,Lives saved,Disruption  avoided,Wellbeing,Cohesion,Awareness (CC),Environment,Adaptive capacity,City identity
Embed stronger adaptation focus into Sustainability Basics (and Beyond Sustainability Basics) training for CoM staff,0.0,0.0,0.0,0,0,0,4,0,4,0
"Increase adaptation engagement through art (""The Catchment Project"")",0.6,0.0,0.0,1,0,2,0,0,0,2
Deliver the Reimagining University Square development,0.0,0.0,0.0,36500,3,4,2,4,2,3
"Roof segmentation study (green roofs and walls, and solar PV) for the municipality",0.0,0.0,0.0,0,0,0,3,0,3,0
Undertake flood modelling for whole of municipality,0.0,0.0,0.0,0,0,0,4,4,4,0
Implement integrated water management at Southbank,3.1,1.9,0.0,1169,0,0,3,1,3,0
"Implement tree replacement and new tree program (prioritising replacement in high risk locations, with consideration to tree diversification strategy)",4.4,9.5,20.1,47,5,4,4,6,4,6
Implement Elizabeth Street catchment integrated water management plan,1.1,1.3,0.0,17862,0,0,2,4,2,4
Assist building owners implement water targets for through the 1200 Buildings program,0.0,0.8,0.0,0,0,0,0,3,0,2
Develop Community engagement plan for at-risk groups to provide information regarding appropriate behaviour when extreme weather events occur,0.0,0.0,0.0,0,2,0,4,0,4,0
Incorporate adaptation considerations in the redevelopment of the Queen Victoria Market,0.0,0.1,0.0,182544,5,5,0,3,0,6
Advocate for the implementation if the Victorian Apartment Design Standards,0.3,6.2,1.9,4,0,0,4,2,4,3
"Deliver Planning Scheme Amendement C187:  energy, water and waste efficiency in new commercial buildings",0.1,1.0,0.0,0,0,0,3,4,3,4
Undertake Moonee Ponds Creek study (and implementation of upgrade recommendations),1.7,0.8,0.0,653,0,0,4,4,4,0
Manage emergency pumps and modelling of early renewal program,3.9,3.7,0.0,595,0,0,2,0,2,0
Undertake drain condition assessment project using CCTV system,0.0,0.0,0.0,0,2,0,4,2,4,2
Manage drainage for flood risk,3.5,20.6,0.0,8376,0,0,2,0,2,0
Implement Melbourne Water flood management plan,0.0,0.0,0.0,0,0,0,3,0,3,0
Proactively manage drainage to mitigate 1:20 ARI flood risk,3.7,12.9,0.0,6678,0,0,3,0,3,2
Deliver the Lincoln Square stormwater harvesting project and park redevelopment,0.1,0.0,0.0,36667,0,0,3,3,3,4
