project,ratioCostBen,ratioBenCost,ratioInvert,ratioMag,lossLabel,lossAverted,lossAvertedStart,disruptAverted,disruptAvertedStart,livesAverted,livesAvertedStart,ratioType,ratioBC,ratioCB,branchLabel,statusLabel,streamLabel,typeLabel,branchClass,statusClass,streamClass,typeLabel,descFull,descCostBen,assumptions,wellbeing,cohesion,awareness,environment,adaptive,identity
"Implement tree replacement and new tree program (prioritising replacement in high risk locations, with consideration to tree diversification strategy)",0.23,4.39,-4.4,4.4,9.5,9.51,0.000,0.0,0,20.1,0.0,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Urban Landscapes,In progress,Working with the environment,Captial Works & Infrastructure,urbanlandscapes,inprogress,workingwiththeenvironment,captialworks&infrastructure,"The action involves the replacement of end of 'useful life expectancy' (ULE) trees and the planting of new trees to increase the city's canopy cover to 40% by 2040. 
Parks are now an optimal level of tree numbers, so there is only replacement of trees in parks and open space. 
New tree plantings are focused in streets. Streets have been prioritised based on current tree population and health, location of specific facilities such as health and child care (the measure of vulnerable), and opportunity. 
","The program cost $1.4 million per year inclusive of all capital, installation, operations and maintenance costs. 
Benefits modelled from a reduced temperature (UHI) effect as a result of the collective tree population and canopy cover include:
- reduced impacts on human health
- reduced energy and transport service disruption (and flow on economic impacts)
- reduced energy costs for cooling
With increasing tree numbers, there will also be flood mitigation benefits however these are not modelled. Other benefits of the action (not modelled) include:
- increase diversity of tree population in Melbourne. 
- reduce air pollution
- improve amenity (note: the amenity value of trees is noted in the detailed modelling below). 
","Annual cost (in real terms) is assumed to continue in perpetuity to continually replenish tree stock.
CoM assumes that a 40% increase in canopy cover is said to result in a potential 4 degree of cooling in the CBD (based on research from the US, Canberra suburb has resulted in up to 7 degrees of cooling). 
It should be noted that the breadth of temperature reduction is not limited to directly under the canopy (as the the heat reduction properties of trees are not limited to shade, but include evapotranspiration etc.). Accordingly, a temperature reduction is assumed across the CBD and reduces transport and energy service disruptions, as well as human health impacts.
",3,2,2,3,2,3
Manage emergency pumps and modelling of early renewal program,0.25,3.94,-3.9,3.9,3.7,3.68,9.510,0.6,0,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Engineering Services,In progress,Improving infrastructure and planning,Capital Works & Infrastructure,engineeringservices,inprogress,improvinginfrastructureandplanning,capitalworks&infrastructure,"This action maintains the emergency pump stations (10 in total) across the CoM. It involves pump maintenance and replacement (including the 'modelling' of upgrades together with a system of drains) in order to maintain the pump service.
Pumps stations are located in the most at risk areas for flooding and are considered essential to reducing flood risk in those areas. The pump system is designed to work with the current '20th century' drain system and together, they are expected to cope with a 1:5 year ARI rainfall event. A shift to a 1:20 year ARI system (across CoM) is a design goal however funding is yet to be sought: costs for a substantial drainage and pump renewal is expected to be in the regions 'hundreds of millions' of dollars.
This model values the ongoing maintenance of the current pump stations.","New pumps are estimated to cost around $1mil each with a lifespan of 20-25 years. Annual operations and maintenance costs include a $30k fixed fee and $50k in maintenance.
Benefits are primarily from damage reduction, particularly in (sub) minor flooding events. ","For the purpose of modelling ongoing replacement and maintenance, a first replacement cycle is modelled immediately for all pump stations (i.e. 10 x $ 1mil).The replacement cycle is conservatively estimated at 20 years. Ongoing operations and maintenance costs are $80k per year and projected to stay the same in real terms.  
The benefits of flood risk reduction requires further assumptions as the frequency of 1:5 year ARI rainfall events (which are assumed to be mitigated in at risk areas) is not part of climate modelling in this model. These events are however, more likely to cause nuisance flooding with little damage to infrastructure or material disruption (at a wide scale).
As a simplification, it has been assumed that the impact of some lower rainfall events (below 1:20) will have the impact of a 1:20 ARI rainfall event (i.e. a minor flood in this model) in the absence of pumps. A doubling in the frequency of floods with the equivalent of a minor flood is assumeds until more detailed modeling is available.
All pumps (and their scope of avoided damage) is assumed to be located in hotspot areas of Arden Macaulay, Elizabeth St and Southbank.",0,0,2,0,2,0
Proactively manage drainage to mitigate 1:20 ARI flood risk,0.27,3.73,-3.7,3.7,12.9,12.85,13.187,6.7,1,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Engineering Services,Speculative,Improving infrastructure and planning,Capital Works & Infrastructure,engineeringservices,speculative,improvinginfrastructureandplanning,capitalworks&infrastructure,"This a 'fictional' action to apply drainage modelling, research and renewal works to estimate the adaptation beenfit of upgrading the municipalities drainage network to cope with 1:20 ARI year floods (i.e. to mitigate the damage from a 'minor' flood event).
This action aggregates current actions beign undertaken - the  municipality flood modelling and CCTV drain assessment - together with further research work required assess invert levels, and to implement a '21st century' drainage system. ","It must be noted that this is a model is presented as a speculative fictional case designed to explore the potential impact that this significant action could have to mitigate climate risk
Costs include the cost of a the current CCTV drainage condition study, the proposed municipality flood modelling studies (estimated at around $75k) and the significant costs of capital works for implementation: these have been ball parked for modelling at over $100mil.
Benefits are associated with mitigating the impact of a flooding: with a drainage system capable of coping with 1:20 ARI (i.e. minor flooding), and  reducing the impact of larger floods.","Total cost of the current  CCTV drain condition assessment project  (~$2.5m) and proposed Municipality flood model ($75k) are fed into this model. A rough estimate of $100mil is modelled to account for further research (e.g. of invert levels) and capital works required to upgrade the drain system.
Benefits are modelled as the complete mitigation of minor floods and a smaller impact reduction of larger floods.
",0,0,2,0,2,2
Manage drainage for flood risk,0.28,3.51,-3.5,3.5,20.6,20.59,26.039,8.4,7,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Engineering Services,Ongoing,Improving infrastructure and planning,Capital Works & Infrastructure,engineeringservices,ongoing,improvinginfrastructureandplanning,capitalworks&infrastructure,"This action is made up of a collection of sub-actions required to maintain the drain system.
1) Maintenance works for: inspection of pits (once per year);  infrastructure maintenance; clearing blockages; and - basic maintenance; pump station maintenance
2) Drainage capital works: for flood mitigation works, renewal weeks and new works .
3) Data management: for maintaining data to support drainage management.
These actions maintain the current performance/service of the existing drainage system to perform to (roughly) a 1:5 year ARI rainfall condition, with new works aiming to bring design standards to 1:20 ARI.
Generally  this budget is considered to manage flood risk 'reactively' due to limited information required to proactively manage drains to mitigate flood risk. This information includes modelling of surface levels, pipe conditions and size, invert levels and drainage conditions. These individual actions, together with an extended renewals program are theoretically modelled in a separate ""Proactive management of drainage for flood risk"" action.","Costs for CoM are made up of various components for maintenance, capital and data management.
Benefits are from the mitigation of flood risks across the municipality, particularly for smaller floods where the drainage system is expected to cope. This is expected to be the case for floods up to around 1:5 ARI level. At higher levels of flooding when the drainage system is overwhelmed, the benefit of maintaning the current drainage system is relateivley small (vs the expected damage for those floods).
","Breakdown of costs (provided by CoM):
> Data management budget - $400,000
> Drainage capital works:  Flood mitigation works - $2.5m  p.a., Renewal works  - $2.3 million/year, 
> Maintenance works: drainage maintenance (fixed fee) - $250k p.a. (from a range of 200k to 300k provided), Pumps maintenance at $50k p.a. plus management fee of $30k p.a.
The benefits of flood risk reduction require further  assumptions as the frequency of 1:5 year ARI rainfall events (which are assumed to be mitigated in at risk areas) is not part of climate modelling in this model. These events are however, more likely to cause nuisance flooding with little damage to infrastructure or material disruption (at a wide scale).
As a simplification, it has been assumed that the impact of some lower rainfall events (below 1:20) will in the absence of maintenance, have the impact of a 1:20 ARI rainfall event (i.e. a minor flood in this model). See model details for more information.",0,0,2,0,2,0
Implement integrated water management at Southbank,0.32,3.12,-3.1,3.1,1.9,1.91,46.629,1.2,16,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Engineering Services,Speculative,Working with the environment,Research & Innovation,engineeringservices,speculative,workingwiththeenvironment,research&innovation,"
This study looks at the impact of a 1:20 year flood in the Southbank area now and in 2100. Southbank was chosen as are  highly at risk of flooding (i.e. tidal influence adding to risk from rainfall events and sea level rise).
The study also includes a water cycle management plan; and will provide a framework for similar studies in Arden Macaulay and possibly Fisherman's Bend (if not included in other design work for the precinct).
","This action does not directly 'respond to a climate risk. The information it provides is however, critical in scoping further actions in the Southbank area (that are yet to be designed).
Estimating and attributing value is difficult. The action is linked to future actions that have yet to be designed.
From a 'risk reduction' perspective, integrated water management increases alternative sources of water (i.e. reduces exposure to drought) and potentially reduces the impact of flooding in the area.
Measuring value of a future option  (a speculative design fiction)
For the purpose of prototype modelling, a calculation of the value at risk for flooding for minor floods (1:20ARI) in Southbank is considered. The rationale for measuring this benefit is that this represents the target drainage design for CoM. 
This approach requires an estimated cost (for a project not year considered). ","Cost of the study include consultancy fees and CoM staff time of 2 hours per week from Feb to June (for management of consultants). Funding is provided from City Research.
Costs and benefits of a future option to improve the performance of drainage to 1:20ARI floods
Estimate $20mil cost (based on assumed cost be similar to Elizabeth St Catchment works)
Benefits modelled as a reduction in impact from all minor floods, with a lower impact for medium and major flood types.
Estimated completion date of 2020 assumed.",0,0,2,1,2,0
Undertake Moonee Ponds Creek study (and implementation of upgrade recommendations),0.60,1.67,-1.7,1.7,0.8,0.77,48.543,0.7,17,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Engineering Services,Speculative,Improving infrastructure and planning,Capital Works & Infrastructure,engineeringservices,speculative,improvinginfrastructureandplanning,capitalworks&infrastructure,"The Moonee Ponds Creek Study was a flood modelling study of the area investigating the design of drains and emergency pumps to a 1 in 20 year ARI performance to support the Arden-Macaulay precinct master plan
The study was undertaken by consultants Cardno and provided an recommended strategy for future upgrade works, including costing. ""This area is subject to flooding events affecting both commercial premises and residential areas. The Arden Macaulay precinct is [..] earmarked for redevelopment to convert the currently unused industrial area within the precinct into an urban hub. [..] The purpose of the report is to review the current capacity of pumping stations within the study area and review previous modelling undertaken by others over 20 years ago and compare with current land use and updated hydraulic modelling tools"".
This action alone (research) does not directly reduce risk. However costing of the implementation and estimate of avoided risk are modelled as a potential future action to value the 'option' of undertaking the action.","The study itself involved consultancy fees ($48k) and CoM staff time for administration and analysis.  Cost estimates from Cardno ato implement upgrade recommendations re provided in their report (Annex 1) in the range of $9.1mil to $11.8mil (in 2011 terms).
Primary adaptation benefits of upgrades are the reduction of flood risk in the area by implementing a system (combination of upgraded drains, retarding basins and pumps across seven sites) capable of performing to a 1:20 year ARI rainfall event (proxied in this model as a minor flood event). ","Costs include $50k consultancy fee to undertake the study. Staff time equivalent to 10% of the consultant fee has been assumed to administer and analyse the study internally.
Upper range capital works estimates are adopted ($11.8mil) and spread evenly over an assumed implementation of 3  years starting 2016 (note: this is indicative for modelling a future unplanned action).
For the purpose of this modelling the risk reduction scope is limited to the Arden-Macaulay (Kensington) locality. The alleviation of risk from a 1:20 year ARI flood (minor) is assumed to be in full. For heavier flood events (where the system is overcapacity), assumptions are made for the actions impact in reducing damage (see detail below).
Drain upgrades are assumed to last until 2100. 
Renewal of pump upgrades at a 20 year interval are included at a cost of $1.4mil (equivalent to the current estimated cost in real terms of implementing the recommend suite of 13 pumps at six pump stations).  Operation and maintenance costs for upgraded pumps is conservatively estimated at $20,000 per year.",0,0,2,2,2,0
Implement Elizabeth Street catchment integrated water management plan,0.89,1.13,-1.1,1.1,1.3,1.25,49.314,17.9,18,0.0,20.1,$Benefit : $Cost,$Benefit per $Cost,$Cost per $Benefit,Urban Landscapes,In progress,Improving infrastructure and planning,Capital Works & Infrastructure,urbanlandscapes,inprogress,improvinginfrastructureandplanning,capitalworks&infrastructure,"""The Elizabeth Street Catchment Integrated Water Cycle Management Plan is a strategy for sustainable water management within the 308-hectare Elizabeth Street Catchment that will guide our actions for the next 15 years to 2030. The Elizabeth Street Catchment is categorised by Melbourne Water as being at Extreme Flood Risk Ð the highest level. Our Plan includes an approach to reduce this flood risk. It also includes ways to use alternative water sources to irrigate existing and future parks and open spaces. [..] The Plan involves all the elements of the water cycle that the City of Melbourne can influence Ð water consumption, rainwater, stormwater, wastewater and groundwater management."" 
Excerpt from the Elizabeth Street Catchment Ingrate Water Cycle Management Plan 2015","Major capital cost of the project are for drainage upgrades (estimated to be $7mil) and for stormwater capture. The total retention volume required throughout the catchment is 25.4 million litres. Based on previous cost figures and a 50:50 split of the retention between council and private, this volume of retention would require a $20.5 million investment by council and $12.7 million by private land owners. 
This action has direct responses to climate risk:
> Alternative water source/storage (in drought) to reduce consumptive water demand and maintain vegetation health. ""The storages can take various forms including traditional retention basins but also, depending on how they are designed and managed, can include rainwater tanks, stormwater harvesting systems, infiltration and permeable paving systems, rain gardens and tree pits""
> Avoided  water costs
> Stormwater capture and flood alleviation. The action targes a ""1:20 Average Recurrence Interval (ARI) (or equivalent) flow capacity of all council drains within the catchment"", meaning that minor floods (as defined in this model), should have no impact. The estimated the impact of this improved drain performance on larger floods is however more difficult to determine as the drainage system is over capacity. 
","Costs (as detailed in the description) are: 
> Drainage upgrade costs are estimated to be $7mil (spread evenly over 2015-18)
> Costs to COM of $20.5mil for  water retention (spread evenly over 2015-2030)
> Costs to private land owners of $12.7mil for water retention (spread evenly over 2015-2030)
The even spread of costs is applied in the absence of more detailed budget data.
Benefits of water cost savings to CoM are from ""the City of Melbourne (council) portion [of water used in the catchment being] mainly used to irrigate open space, street trees and medians. It is estimated to be more than 41 million litres per year, depending on summer rainfall levels."" Council is targeting 18% alternative water use by 2018 and 50% by 2030. For modelling purposes we have assumed that these targets will be met and a tariff of $2 per kL is avoided.
It s noted that water targets for private landholders are included in the plan:  8% (608mil litres) municipal water use from alternative sources by 2018 and 20% (1,520mil litres) by 2030. Achieving these targets is cited as a 'challenge' and would required another $45mil of investment in tanks. Access to a centralised alternative water network is suggested as a better solution. Given the lack of certainty over the preferred solution, these costs and benefits to private landholders have not been modelled.
The capacity of stormwater harvested to reduce flood risk is based on achieving the targeted performance of the drainage system to cope with a 1:20ARI  event (i.e. akin to a in or flood in this model). The performance and risk reduction capability of the action for heavier flooding is difficult to model. In theses cases an assumption of risk reduction is made.
The benefit to vegetation health (i.e. water availability in drought) is yet to be modelled",0,0,2,2,2,2
"Increase adaptation engagement through art (""The Catchment Project"")",1.61,0.62,1.6,1.6,0.0,0.00,50.567,0.0,35,0.0,20.1,$Cost : $Benefit,$Benefit per $Cost,$Cost per $Benefit,Sustainability,In progress,Improving infrastructure and planning,Capital Works & Infrastructure,sustainability,inprogress,improvinginfrastructureandplanning,capitalworks&infrastructure,"The project aims to engage the City of Melbourne residents, workers and businesses around water shortages and drought through art. Melbourne Artists Debbie Symons and Jasmine Target have been awarded funding to deliver a project at the Creative Spaces: Carlton Connect Studio and launch their work in line with Climarte festival ÔClimate + Art = Change 2015Õ.
","The project capital cost is $25,000 (for commissioning the work) plus CoM resourcing cost for 1 person for 1 day per week for 3 months (13 days).
The longer term and downstream impacts of this projects are not easily defined: the impact of engagement with the subject matter is too difficult to meaningfully model (e.g. the impact on 'influencers' that may participate, particularly the youth, are difficult to imagine let alone model with any confidence).
The modelling approach takes a 'design fiction' approach by assuming that that a small proportion of participants take up alternative water supply (storage) units, at a household level. In this storyline there is a value of private amenity resulting from the increased resilience of private gardens in drought conditions, (i.e. ability to water and maintain vegetation health), and a (minor) effect on reducing flood impacts through stormwater catchment.
","The modelled cost to CoM is capital cost is $25,000 (for commissioning the work) plus CoM resourcing cost for 1 person for 1 day per week for 3 months (13 days). Costs to the public are described below.
The 'direct' response of this action to climate change is difficult accurately attribute as there are expected to be different levels of engagement and behaviour response by those 'exposed' the project. The project 'message' is  more abstract than traditional information based campaigns.  However the use of art - particular as a more emotive and visual medium - is expected to lead to a very high 'quality' engagement and response.
The installation itself targets 1000 direct participants (who provide bottles of water used in the exhibit). Participants can be from CoM or beyond. Translating engagement and 'awareness' into actions that build resilience is difficult. Participants are modelled as 'deeply engaged' - which could lead to actions in water resilience (e.g. investment in alternative water supply such as water tanks) in their households and potentially, workplaces. An upper bound of 1000 newly engaged households (or a reduction in 'exposure') is possible. This figure is then adjusted for lower uptake due to: i) practically barriers of investment (i.e. capital cost; ii) capacity to act (e.g. renters, apartment dwellers, children etc.); iii) existing uptake, particular as participants expected existing level of engagement in the subject matter is higher than average; iv) proportion of participants located outside CoM and v) other barriers. Modelling all of these factors individually is not feasible. Accordingly, judgement is made for an estimated 'uptake rate' or conversion from engagement to new action of 5% (i.e. 50 CoM homes taking action to source an alternative water supply).  
Gallery visitors will also be exposed to the message of the installation. Their level of engagement will not be expected to be as high. Estimates of expected gallery visitors is not known (note: this is the first year of the exhibit). Media reach data was also not provided by media release to  arts contacts and general list Ð which is around about 200 contacts (individual press contacts and media outlets). Expected attendance is estimated to be around 500 people over a two week duration. It is assumed that 'conversion' to action is highly unlikely as a direct result of attending the exhibit.
An installed cost of $1000 for a 2.0kL water tank (installed) has been applied, with replacement at 15 years at same cost in real terms.
An assumption that tank levels are on average half full at the start of any intense rainfall (flooding) events and act as extra capacity for stormwater capture.   ",0,2,0,0,0,2
Advocate for the implementation if the Victorian Apartment Design Standards,3.47,0.29,3.5,3.5,6.2,6.24,50.569,0.0,35,1.9,20.1,$Cost : $Benefit,$Benefit per $Cost,$Cost per $Benefit,Strategic Planning,Speculative,Improving infrastructure and planning,Legislation & Regulation,strategicplanning,speculative,improvinginfrastructureandplanning,legislation&regulation,"CoM has been working with the Office of the Victorian Government Architect to propose a set of guidelines for the design of new apartments that are proposed as guidelines (with the intent that they  come into effect some time before 2018) .The guidelines are based on the successful NSW SEPP 65 policy introduced in 2002.
From the OVGA: ""OVGA has led a process involving a broad-based working and reference group to draft a set of proposed standards that address the quality of apartment dwellings and the performance of apartment buildings. .. The standards form part of a suite of initiatives that are being developed to improve the amenity of residential apartments. These initiatives include preparing a guideline document to supplement the standards as they appear in the planning scheme; preparing a publication with the City of Melbourne including case studies for public engagement and working with local governments to discuss implementation"".
This model assumes the implementation of the guidelines from 2018 to be applied to all new apartments in CoM.","CoM support has been in the form of staff time (including secondment).
Benefits (from an adaptation perspective) are expected to primarily be in the form of reduced heat related illness and mortality due to the increased performance of the buildings. It is also expected that there will be benefit reduced cooling load and electricity cost required to maintain a comfortable (and safe) environment for occupants.
 
","CoM staff time attributed to the action has been spread (evenly) over a three year period and includes:  CoM Officer at OVGA for 3 MThs FT  followed by 2 months part time (between 0.25 to 0.5FTE), plus support from 2 x FTE for 1 day per week for 12 weeks from other parts of council; and for roll out: 1 week x  3 FTE + 3 weeks x  1 FTE admin and another 3 weeks x 1 FTE for admin and graphic design.  
A cost for one OVGA person for 12mths (equivalent to CoM Officer) is included.
Benefits in water efficiency are calculated for an estimate of new apartments being built (and occupied) at a rate similar to the past decade (noting that expected increases in development rates may level out in the long-term future).
Estimates of new residents (sourced from Geographia) are used in conjunction with an assumption over the proportion likely to be in new apartments is used to determine the population affected. The existing demographic of elderly people in CoM - as vulnerable people to heat-realted health issues - is used into the future in the absence and implication of forecasts of demographic shifts.
For public costs, an estimated additional cost of 7.5% per dwelling (from a  5 to 10% range estimated by CoM)  above a median price of $519,000 (source: REIV 2015) is applied. However the economic impact of increased apartment costs is considered through an impact on property yield (i.e. as this is better representative of the 'allocative' economic impact, as the increase in property price is expected to be retained by the purchaser in the value of their property). An esatimed loss in yeild is made from the difference between the  current average yeild of a 1 and 2 bedrrom apartment (i.e. as a 'proxy' for the loss in yield that migth be expected from a larger apartment).
The marginal analysis takes into account 10 years of new apartment dwellings as it is expected that these guidelines are accelerating the uptake of these design principles; and would become business as usual design after this period.
",0,0,2,2,2,2
"Deliver Planning Scheme Amendement C187:  energy, water and waste efficiency in new commercial buildings",9.88,0.10,9.9,9.9,1.0,0.95,56.810,0.0,35,0.0,22.0,$Cost : $Benefit,$Benefit per $Cost,$Cost per $Benefit,Statutory Planning,In progress,Improving infrastructure and planning,Legislation & Regulation,statutoryplanning,inprogress,improvinginfrastructureandplanning,legislation&regulation,"This action models an uptake for new developments (commercial) of the C187 guidelines.
Melbourne Planning Scheme Amendment C187 Ð energy, water and waste efficiency
The City of Melbourne has introduced a policy into the Melbourne Planning Scheme that will ensure all new buildings are eco-friendly. The Energy, Water and Waste Efficiency policy, which was introduced thorough Planning Scheme Amendment C187 applies specific industry-recognised standards for energy, water and waste efficiency depending on use and size of the proposed building. These new standards will ensure that future development across the City will:
- achieve high environmental performance standards at the design, construction and operation phases
- minimise the cityÕs contribution to climate change impacts by reducing greenhouse gas emissions
- improve the water efficiency of buildings and encourage the use of alternative water sources
- minimise the amount of waste going to landfill and maximise the recycling and reuse of materials.
Clause 22.19 in the Melbourne Planning Scheme: The policy applies to applications for the construction of a building (including alterations and additions) for the purposes of office, retail, education centre and accommodation","CoM sosts of the amendment are associated with staff time that was required tor support the advocacy of the amendment. Public costs are those extra costs required to implement efficiency meausres.
Benefits (from an adaptation perspective) are primarily related to water savings. These water savings are expected to have environmental benefit during drought periods (i.e. water availability to better maintain green infrastructure) and ongoing cost savings.
It should noted that reduced energy costs during heat events have not been included in this modelling due to there being no-prescriptive energy efficiency upgrades (particularly around HVAC requirements), and the expectation that . ","CoM staff time assumed to be around 6 months full time over the a two year course of introducing this amendment.
Benefits in water efficiency are calculated on continued development activity at a rate similar to the past decade (noting that expected increases in development rates may level out in the long-term future).
CoM development monitor data (Jan 2002 to Nov 2014) are used to estimate the net lettable area (NLA) approached in commercial buildings being approved annually (excluding 'mooted' projects).
Minimum water performance (as per 22.19) for: 
> Offices (all sizes): 3 points Wat1-1 credit under GBCA Office rating tool (or equivalent)
> Retail (all sizes): 5 points Wat1-1 credit under GBCA Retail rating tool (or equivalent)
> Education Centre (all sizes): 3 points Wat1-1 credit under GBCA Education rating tool (or equivalent)
> Accommodation (all sizes): 1 points Wat1-1 credit under GBCA Multi-Residential rating tool (or equivalent)
The Green Star tools are currently transitioning to Green Star Design & As Built online tool (by Dec 2015). Currently access requires registration of buildings and could not be accessed for the purpose of mining assumptions. 
In the interim and to simplify calculation of expected water efficiency savings - the indicative water savings of Green Star accredited buildings (taken from the 2013 GBCA report ""The value of Green Star"") is used and discounted to a level reasonably aligned to minimum performance levels expected under Cl22.19
The Australian Government's  ""Water Efficiency Guide for Office and Public Buildings Guide"" (Dept of Environment and Heritage, 2006) suggests that the average water consumption for office buildings across Australia is 1.125 kL/m2.  This figure is assumed for all commercial buildings (with more detailed breakdown pending). Melbourne Water (2013/14) estimates  average per person daily water use (residential) of 160 litres.
Calculation of estimated savings is based on calculated reference case and savings case usage use in that above inputs.
Costs to developers or building owners to meet efficiency estimated at $1 per sqm ***Research required***",0,0,2,2,2,2
